Docente,Tipo,Qualis,Ano,Local,Título
Giovanni Ventorim Comarela,Periódico,A4,2023,FIRST MONDAY (ONLINE),Politics and disinformation: Analyzing the use of Telegram's information disorder network in Brazil for political mobilization
Giovanni Ventorim Comarela,Periódico,A2,2024,CADERNO PEDAGÓGICO (LAJEADO. ONLINE),Elaboração de um serviço de recomendação híbrido ponderado e misto implantado em webservice RESTful
Giovanni Ventorim Comarela,Periódico,A2,2024,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,Towards a Framework to Evaluate Generative Time Series Models for Mobility Data Features
Giovanni Ventorim Comarela,Periódico,A1,2022,IEEE Transactions on Network and Service Management,MAP4: A Pragmatic Framework for In-Network Machine Learning Traffic Classification
Giovanni Ventorim Comarela,Conferência,A1,2023,ICC 2023  IEEE International Conference on Communications,Machine Learning-Based Early Attack Detection Using Open RAN Intelligent Controller
Giovanni Ventorim Comarela,Conferência,A1,2023,KDD '23: The 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Dependence and Model Selection in LLP: The Problem of Variants
Giovanni Ventorim Comarela,Conferência,A4,2024,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,Uma arquitetura baseada em Redes Neurais Recorrentes para predição de trajetórias veiculares em ambientes urbanos
Giovanni Ventorim Comarela,Conferência,A4,2024,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,RAVEN: Detecção e Classificação Precoce de Atores Maliciosos em uma Rede Acadêmica
Giovanni Ventorim Comarela,Conferência,B4,2024,Workshop de Gerência e Operação de Redes e Serviços,Reprodutibilidade de Experimentos em Redes de Computadores através do Catálogo de Dados RNP
Giovanni Ventorim Comarela,Conferência,Qualis não identificado,2024,Workshop de Computação Urbana,Geração de Dados de Ataque em Internet das Coisas utilizando Redes Generativas Adversárias
Giovanni Ventorim Comarela,Conferência,Qualis não identificado,2024,Workshop sobre as Implicações da Computação na Sociedade,Development of an Equity Strategy for Recommendation Systems
Giovanni Ventorim Comarela,Conferência,B4,2024,Brazilian Workshop on Social Network Analysis and Mining,Analisando a Justiça de Grupo em Sistemas de Recomendação: Uma Avaliação de Estratégias de Filtragem e Agrupamentos de Usuários no Dataset MovieLens
Giovanni Ventorim Comarela,Conferência,A4,2024,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,Além da Conexão: Combinando Múltiplas Fontes de Dados para Entender e Prever Evasão de Internet Residencial
Giovanni Ventorim Comarela,Conferência,A1,2024,2024 International Joint Conference on Neural Networks (IJCNN),Analysis of Bias in GPT Language Models through Fine-tuning Containing Divergent Data
Giovanni Ventorim Comarela,Conferência,Qualis não identificado,2024,Proceedings of the Brazilian Symposium on Multimedia and the Web,Characterizing the Toxicity of the Brazilian Extremist Communities on Telegram
Giovanni Ventorim Comarela,Conferência,A4,2024,Simpósio Brasileiro de Banco de Dados,Detecting Misinformation on Telegram Anti-vaccine Communities
Rodolfo da Silva Villaca,Periódico,A2,2021,Journal of Network and Systems Management,ML-Based DDoS Detection and Identification Using Native Cloud Telemetry Macroscopic Monitoring
Rodolfo da Silva Villaca,Periódico,A2,2021,MOBILE NETWORKS & APPLICATIONS,Distributed Network Slicing Management Using Blockchains in E-Health Environments
Rodolfo da Silva Villaca,Periódico,B1,2022,Internet of Things,An integrated solution of software and hardware for environmental monitoring
Rodolfo da Silva Villaca,Periódico,A1,2022,IEEE Transactions on Network and Service Management,M-PolKA: Multipath Polynomial Key-based Source Routing for Reliable Communications
Rodolfo da Silva Villaca,Periódico,A4,2021,"Cadernos de Educaï¿½ï¿½o, Tecnologia e Sociedade","TICs in an Educational Cooperative: Infrastructure, Uses and Perceptions of Students and Teachers"
Rodolfo da Silva Villaca,Periódico,A2,2024,Journal Of Energy Storage,Profit distribution through blockchain solution from battery energy storage system in a virtual power plant using intelligence techniques
Rodolfo da Silva Villaca,Periódico,A1,2024,Future Generation Computer Systems,An intelligent native network slicing security architecture empowered by federated learning
Rodolfo da Silva Villaca,Periódico,B1,2024,Internet Of Things,Forecasting energy power consumption using federated learning in edge computing devices
Rodolfo da Silva Villaca,Conferência,A3,2023,International Conference on Advanced Information Networking and Applications (AINA),MPolKA-INT: Stateless Multipath Source Routing for In-band Network Telemetry
