Sigla,Nome do evento,Estrato,quadrienio
3DOR,Eurographics Workshop on 3D Object Retrieval,B3,2017-2020
3DUI,IEEE Symposium on 3D User Interfaces,A3,2017-2020
3DV,International Conference on 3D Vision,A1,2017-2020
3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",B2,2017-2020
5GWF,IEEE 5G World Forum,B1,2017-2020
A-TEST,"International Workshop on Automating Test Case Design, Selection and Evaluation",B2,2017-2020
AAAI,AAAI Conference on Artificial Intelligence,A1,2017-2020
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,A1,2017-2020
ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",B3,2017-2020
AC-IADIS,IADIS International Conference on Applied Computing,B4,2017-2020
ACC,American Control Conference,A1,2017-2020
ACCV,Asian Conference on Computer Vision,A1,2017-2020
ACE,International Conference on Advances in Computer Entertainment Technology,B2,2017-2020
ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,B4,2017-2020
ACII,International Conference on Affective Computing and Intelligent Interaction,A4,2017-2020
ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,B2,2017-2020
ACISP,Australasian Conference on Information Security and Privacy,A4,2017-2020
ACIVS,Advanced Concepts for Intelligent Vision Systems,A4,2017-2020
ACL,Annual Meeting of the Association for Computational Linguistics,A1,2017-2020
ACM CC,Creativity & Cognition,B1,2017-2020
ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,A2,2017-2020
ACM IMX,ACM International Conference on Interactive Media Experiences,A3,2017-2020
ACMIDC,ACM Internacional Conference on Interaction Design and Children,A2,2017-2020
ACMMM,ACM International Conference on Multimedia,A1,2017-2020
ACMSOCC,ACM Symposium on Cloud Computing,A2,2017-2020
ACNS,Applied Cryptography and Network Security,A3,2017-2020
ACRA,Australasian Conference on Robotics and Automation,B4,2017-2020
ACSAC,Computer Security Applications Conference,A2,2017-2020
ADBIS,East European Conference on Advances in Databases and Information Systems,A4,2017-2020
ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,B2,2017-2020
ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,B4,2017-2020
ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,B4,2017-2020
AES,International Convention of the Audio Engineering Society,B3,2017-2020
AES-ICSA,AES International Conference on Semantic Audio,B1,2017-2020
AFRICACRYPT,International Conference on Cryptology in Africa,A4,2017-2020
AGILEGIS,Conference on Geographic Information Science,B3,2017-2020
AH,Augmented Human International Conference,A3,2017-2020
AHS,NASA/ESA Conference on Adaptive Hardware and Systems,B2,2017-2020
AI,Canadian Conference on Artificial Intelligence,B1,2017-2020
AIC,International Workshop on Artificial Intelligence and Cognition,B4,2017-2020
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,A4,2017-2020
AICT,International Conference on Application of Information and Communication Technologies,B1,2017-2020
AICT-IARIA,IARIA Advanced International Conference on Telecommunications,B4,2017-2020
AIED,International Conference on Artificial Intelligence in Education,A3,2017-2020
AIES,"AAAI/ACM Conference on AI, Ethics, and Society",A2,2017-2020
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,A3,2017-2020
AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,A4,2017-2020
AIME,Conference on Artificial Intelligence in Medicine,B3,2017-2020
AIML,Advances in Modal Logic,B2,2017-2020
AIMS,"International Conference on Autonomous Infrastructure, Management and Security",B3,2017-2020
AINA,IEEE International Conference on Advanced Information Networking and Applications,A3,2017-2020
AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,B3,2017-2020
AIPR,Applied Imagery Pattern Recognition Workshop,B1,2017-2020
AISTATS,International Conference on Artificial Intelligence and Statistics,A1,2017-2020
AITest,IEEE International Conference On Artificial Intelligence Testing,B2,2017-2020
AITM,Conference on Advanced Information Technologies for Management,B4,2017-2020
AlCoB,International Conference on Algorithms for Computational Biology,B2,2017-2020
ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,A4,2017-2020
ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,B4,2017-2020
ALLERTON,"Allerton Conference on Communication, Control, and Computing",A2,2017-2020
AMCIS,Americas Conference on Information Systems,A2,2017-2020
AMD,Workshop on Analysis of Movement Data,B4,2017-2020
AMIA,Annual Symposium of the American Medical Informatics Association,A2,2017-2020
AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,B1,2017-2020
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,A4,2017-2020
ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,B3,2017-2020
ANSS,Annual Simulation Symposium,B2,2017-2020
ANT,"International Conference on Ambient Systems, Networks and Technologies",B4,2017-2020
ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,B1,2017-2020
APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,B1,2017-2020
APKC,ACM on ASIA Public-Key Cryptography Workshop,B3,2017-2020
APLAS,Asian Symposium on Programming Languages and Systems,A4,2017-2020
APNOMS,Asia-Pacific Network Operations and Management Symposium,A4,2017-2020
APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,A3,2017-2020
APWEB,Asia-Pacific Web Conference,B2,2017-2020
ARC,International Symposium on Applied Reconfigurable Computing,B1,2017-2020
ARCS,International Conference on Architecture of Computing Systems,B2,2017-2020
ARES,"International Conference on Availability, Reliability and Security",A2,2017-2020
ARIC,International Workshop on Intelligent and Resilient Cities,B4,2017-2020
ARM,Workshop on Adaptive and Reflective Middleware,B4,2017-2020
ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,B2,2017-2020
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",A4,2017-2020
ASE,IEEE/ACM International Conference on Automated Software Engineering,A1,2017-2020
ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security",A1,2017-2020
ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,A1,2017-2020
ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",B3,2017-2020
ASMS,Advanced Satellite Multimedia Systems Conference,B4,2017-2020
ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,A2,2017-2020
ASP-DAC,Asia and South Pacific Design Automation Conference,A2,2017-2020
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,A1,2017-2020
ASPRS,Annual Conference and International Lidar Mapping Forum,B4,2017-2020
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,A2,2017-2020
AST,IEEE/ACM International Workshop on Automation of Software Testing,B3,2017-2020
ASWEC,Australasian Software Engineering Conference,B3,2017-2020
ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,B2,2017-2020
ATC,USENIX Annual Technical Conference,A1,2017-2020
Atech,International Conference on Agreement Technologies,B3,2017-2020
ATS,Asian Test Symposium,B2,2017-2020
ATT,International Workshop on Agents in Traffic and Transportation,B4,2017-2020
AUDIOMOSTLY,Audio Mostly Conference,B1,2017-2020
AusDM,Australasian Data Mining Conference,B3,2017-2020
AVI,International Working Conference on Advanced Visual Interfaces,A4,2017-2020
AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,A2,2017-2020
BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",A2,2017-2020
BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,B1,2017-2020
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",B1,2017-2020
BDCLOUD,International Conference on Big Data and Cloud Computing,A4,2017-2020
BENCH,"International Symposium on Benchmarking, Measuring and Optimization",B2,2017-2020
BESC,"International Conference on Behavior, Economic and Social Computing",B3,2017-2020
BIATA,Bioinformatics: from Algorithms to Applications,B3,2017-2020
BIBE,IEEE International Conference on BioInformatics and BioEngineering,A3,2017-2020
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,A2,2017-2020
BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,B2,2017-2020
BIGDATA,IEEE International Conference on Big Data,A1,2017-2020
BigDataSE,IEEE International Conference On Big Data Science And Engineering,A3,2017-2020
BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,A4,2017-2020
BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,B2,2017-2020
BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,B3,2017-2020
BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,B2,2017-2020
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,A3,2017-2020
BIOSENSORS,World Congress on Biosensors,B4,2017-2020
BIS,International Conference on Business Information Systems,A4,2017-2020
BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,A4,2017-2020
