"ISSN","Título","Área de Avaliação","Estrato"
"2541-965X","РУССКАЯ ПОЛИТОЛОГИЯ (RUSSIAN POLITICAL SCIENCE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2236-6695","A BARRIGUDA: REVISTA CIENTÍFICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1413-6090","A ECONOMIA EM REVISTA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"2236-2029","A ECONOMIA EM REVISTA - AERE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1528-7106","AACE INTERNATIONAL TRANSACTIONS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","C"
"0094-6354","A.A.N.A. JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"0149-1423","AAPG BULLETIN (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"2381-1285","AASCIT JOURNAL OF HEALTH (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","C"
"2316-9451","ABAKÓS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1980-4814","ABCUSTOS (SÃO LEOPOLDO, RS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1516-3210","A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2315-7712","ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1012-8255","ACADEMIA REVISTA LATINOAMERICANA DE ADMINISTRACIÓN","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2318-1494","ACADÊMICO MUNDO","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1806-9495","ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","C"
"1096-3685","ACADEMY OF ACCOUNTING AND FINANCIAL STUDIES JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1528-2686","ACADEMY OF ENTREPRENEURSHIP JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"0001-4273","ACADEMY OF MANAGEMENT JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1526-1794","ACADEMY OF MARKETING SCIENCE REVIEW","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1095-6298","ACADEMY OF MARKETING STUDIES JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1939-6104","ACADEMY OF STRATEGIC MANAGEMENT JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2358-6559","ACANTO EM REVISTA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2238-0701","AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0773-7637","ACCOUNTANCY & BEDRIJFSKUNDE MONOGRAFIEËN","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2559-6004","ACCOUNTING & MANAGEMENT INFORMATION SYSTEMS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1583-4387","ACCOUNTING & MANAGEMENT INFORMATION SYSTEMS/CONTABILITATE SI INFORMATICA DE GESTIUNE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"0810-5391","ACCOUNTING AND FINANCE (PARKVILLE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0951-3574","ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1468-4489","ACCOUNTING EDUCATION","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0963-9284","ACCOUNTING EDUCATION","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1467-6303","ACCOUNTING FORUM","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"0155-9982","ACCOUNTING FORUM (ADELAIDE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1744-9499","ACCOUNTING IN EUROPE (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1030-9616","ACCOUNTING RESEARCH JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2637-6105","ACS APPLIED POLYMER MATERIALS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1948-5875","ACS MED CHEM LETT","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2168-0485","ACS SUSTAINABLE CHEMISTRY & ENGINEERING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"0906-4702","ACTA AGRICULTURAE SCANDINAVICA. SECTION A, ANIMAL SCIENCE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0120-2812","ACTA AGRONOMICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"0139-3006","ACTA ALIMENTARIA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1809-4392","ACTA AMAZONICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"0001-5237","ACTA ASTRONOMICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"2358-3363","ACTA BIOLÓGICA CATARINENSE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2236-0867","ACTA BIOMEDICA BRASILIENSIA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0102-3306","ACTA BOTANICA BRASÍLICA (IMPRESSO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"0001-5385","ACTA CARDIOLOGICA (IMPRIMÉ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0583-6050","ACTA CARSOLOGICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1678-2674","ACTA CIRÚRGICA BRASILEIRA (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"0123-9155","ACTA COLOMBIANA DE PSICOLOGIA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"2357-8068","ACTA DE PESCA DE RECURSOS AQUATICOS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2317-0190","ACTA FISIÁTRICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1980-5772","ACTA GEOGRÁFICA (UFRR)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2316-4093","ACTA IGUAZU","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0102-6712","ACTA LIMNOLÓGICA BRASILIENSIA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0001-5970","ACTA MECHANICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2594-7680","ACTA NEGÓCIOS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1982-0194","ACTA PAUL DE ENFERM","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"0137-5881","ACTA PHYSIOLOGIAE PLANTARUM","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1210-2709","ACTA POLYTECHNICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"0065-1583","ACTA PROTOZOOLOGICA (DRUK)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1517-4492","ACTA SCIENTIAE (ULBRA)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1679-9216","ACTA SCIENTIAE VETERINARIAE (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1679-9275","ACTA SCIENTIARUM. AGRONOMY (IMPRESSO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1807-8621","ACTA SCIENTIARUM. AGRONOMY (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1807-863X","ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2178-5201","ACTA SCIENTIARUM. EDUCATION (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1807-8656","ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1983-4683","ACTA SCIENTIARUM. LANGUAGE AND CULTURE (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1806-2563","ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1807-8664","ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2446-7006","ACTA SEMIÓTICA ET LINGVISTICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
